id;name;email;phone_number;birth_date;sex;passport;country_code;address;account_creation;pay_method;account_status
LauMarques463;Laura Marques;laumarques463@li3.pt;(351) 914358897;1981/01/04;;JF454390;PT;R. Dinis Andrade, 506188-095 Vila Real de Santo António;2019/09/27 16:10:45;debit_card;active
JoPereira1688;João Pereira;jopereira1688@li3.pt;(351) 933 047 286;1958/04/03;;GO889194;PT;Praça Mafalda Borges, 599481-814 Praia da Vitória;2015/01/29 23:40:09;debit_card;active
MFigueiredo165;Mara do Figueiredo;mfigueiredo165@li3.pt;(351) 932407623;1984/01/31;;MQ679909;PT;Rua Carneiro, 973199-664 Tomar;2015/07/26 02:39:34;debit_card;active
LReis1618;Lúcia Reis;lreis1618@li3.pt;(351) 961 474 913;;F;TZ465234;PT;Avenida de Freitas, 225748-602 Silves;2018/03/20 15:45:00;debit_card;active
BenjamiSilva899;Benjamim de Silva;benjamisilva899@li3.pt;(351) 937 206 036;;M;FW886734;PT;R. Leal, 6547183-590 Tomar;2013/07/09 00:00:04;credit_card;active
AlexanAntunes447;Alexandra Antunes;alexanantunes447@li3.pt;(351) 965115157;1964/08/12;F;YD228822;PT;;2019/07/26 22:58:37;cash;active
DMatos1549;Daniel Matos;dmatos1549@li3.pt;(351) 264 681 908;1965/01/09;M;CY503997;PT;Largo de Santos, 521792-353 Marinha Grande;2016/10/18 00:12:34;;active
CLopes687;Camila Lopes;clopes687@li3@pt;(351) 927866836;1956/06/13;F;VJ381891;PT;Praça Guerreiro, 512378-384 Lagos;2018/09/10 14:24:44;cash;active
LCampos192;Larissa Campos;lcampos192@li3.pt;(351) 917 334 125;1977/10/24;F;;PT;Largo Jesus, S/N6212-492 Marco de Canaveses;2020/11/16 13:51:31;credit_card;inactive
AfMiranda1839;Afonso Miranda;afmiranda1839@li3.pt;(351) 919544961;1968/10/09;M;MR178443;PT;Praça João Jayme Faria Affonso, 479566-121 Coimbra;2014/04/12 20:24:56;;active
IrVicente;Irina Vicente;irvicente@li3.pt;965 441 719;1987/01/19;;GY606327;PT;Alameda Mota, 818493-806 Vila Nova de Foz Côa;2018/01/11 15:11:44;debit_card;active
AndrCorreia-Paiva1213;Andreia Correia-Paiva;andrcorreia-paiva1213@li3.pt;911449866;1967/11/03;;HG159683;PT;Alameda de Ramos, 2486415-398 Gafanha da Nazaré;2020/10/02 11:44:38;cash;inactive
VMatias56;Vera Matias;vmatias56@li3.pt;(351) 966 660 168;1956/03/21;F;LT307958;PT;Alameda Marta Domingues, 516546-927 Barcelos;2017|07|29 01:05:06;debit_card;active
IRodrigues1943;Igor Rodrigues;irodrigues1943@li3.pt;+351924133405;1991/12/26;M;HJ180439;PT;Travessa Marques, 228198-080 Póvoa de Varzim;2016|07|16 10:02:26;credit_card;active
LoCarneiro1440;Lourenço Carneiro;locarneiro1440@li3.pt;913 850 122;1997/08/24;M;CH395017;PT;;2010/10/22 02:24:40;cash;active
CaetanaCarneiro;Caetana-Francisca Carneiro;caetanacarneiro@li3.pt;(351) 931988219;01:17:38 PM/04/12/2008;F;CF188665;PT;Av Joaquim Faria, 477876-918 Faro;2010/10/26 15:03:51;debit_card;active
KévAlmeida408;Kévim Almeida;kévalmeida408@li3.pt;(351) 929291463;2005/07/19;M;HY258218;PT;Alameda Professor Gonçalves Ferreira, 628278-748 Mealhada;2015/10/16~02:03:57;credit_card;active
LNunes1301;Lisandro Nunes;lnunes1301@li3.pt;962 673 747;25/02/2019;M;JF111122;PT;Rua Machado, 230505-457 Santo Tirso;2010/09/04 07:27:15;cash;active
MNunes1585;Márcio de Nunes;mnunes1585@li3.pt;+351272313813;1983/05/11;M;VU303228;PT;Avenida de Araújo, 120118-390 Mirandela;2016/07/08 00:35:57;;active
DuarAmaral143;Duarte Amaral;duaramaral143@li3.pt;;1951/09/20;M;VO326910;PT;Alameda Alice Pires, 662980-563 Valpaços;2018/09/29 08:33:36;cash;active
;César Assunção;cassunção1096@li3.pt;(351) 939 204 763;1985/04/13;M;VL979728;PT;Praça Costa, 582280-823 Oliveira de Azeméis;2015/02/11 12:20:19;cash;Active
MReis1747;;mreis1747@li3.pt;(351) 916044873;1966/03/29;F;DW746571;PT;Rua Professor Gonçalves Ferreira, 554027-404 Montijo;2013/11/20 22:40:35;debit_card;active
;Emanuel Torres;emtorres1086@li3.pt;(351) 205 922 074;1954/08/17;M;GK430621;PT;Alameda de Ribeiro, 862700-212 Alverca do Ribatejo;2020/12/26 19:41:06;debit_card;active
VAlves926;Valentim Alves;valves926@li3.pt;+351916281818;1974/06/24;;JM769678;PT;Rua de Maia, 59749-496 Penafiel;2012/10/21 08:10:44;credit_card;active
TCorreia174;Tatiana Correia;tcorreia174@li3.pt;(351) 914 887 589;1980|09|07;F;CJ942431;PT;Praça de Rodrigues, 9545566-725 Angra do Heroísmo;2012/11/01 13:02:18;credit_card;active
Erika-Pinto;Erika-Matilde Pinto;erika-pinto@li3.pt;(351) 923920102;1982/09/20;F;LX860848;D;Alameda da Conceição, 766133-054 Fundão;2018/08/11 22:59:40;cash;active
TatiMiranda580;Tatiana Miranda;tatimiranda580@li3.pt;(351) 912 408 214;1957/03/14;F;RN869560;CQB;R. de Costa Cabral, 941262-349 Amora;2013/05/11 03:51:29;credit_card;active
NoaAnjos-Araújo1738;Noah Anjos-Araújo;noaanjos-araújo1738@li3.pt;(351) 912 351 452;1994/06/24;M;FY442887;GIO;Av do Parque, S/N0177-872 Penafiel;2019/07/05 18:02:50;cash;Active
EFreitas1073;Emanuel Freitas;efreitas1073@li3.pt;;1994/03/18;M;ON424017;PT;Alameda Macedo, 2684597-856 Marinha Grande;2010/03/19 22:23:59;cash;active
GBranco1417;Gonçalo Branco;gbranco1417@li3.pt;+351935381594;1967/01/31;M;WE621899;PT;Travessa de Magalhães, 4276862-589 Trancoso;2013/05/09 04:56:26;credit_card;WE621899
KBarros108;Kévim Barros;kbarros108@li3.pt;960 745 939;1967/03/08;M;US192394;PT;Largo Mélanie Faria, 676782-867 Viana do Castelo;2013/09/03~16:22:15;cash;active
JéssicAntunes1091;Jéssica Antunes;jéssicantunes1091@li3.pt;962727682;1995/05/16;F;VE224178;PT;Av Cruz, 360962-836 Gafanha da Nazaré;;debit_card;active
SandFreitas742;Sandro da Freitas;sandfreitas742.li3.pt;+351928901823;1987/12/22;M;EJ260843;PT;Avenida Assunção, 711462-735 Rebordosa;2016/12/28 15:45:49;debit_card;active
ÂGonçalves227;Ângelo Gonçalves;âgonçalves227@li3.pt;(351) 935150015;1954/05/18;;LG119979;PT;Praça de Almeida, 162967-982 Lixa;2017/06/21 15:24:13;cash;active
CarCastro921;Carlota Castro;carcastro921@li3.pt;(351) 267468806;07/05/2017;F;MN136113;PT;Av de Silva, 78981-367 Amora;2020/12/12 20:52:06;credit_card;active
BAnjos1269;Bárbara Anjos;banjos1269@li3.pt;(351) 916 274 552;1956/02/24;;OL233282;PT;R. Filipa Silva, 693246-968 Esposende;2019/11/25 12:02:54;credit_card;inactive
LucMarques933;Luca Marques;lucmarq;930 929 089;2000/06/22;M;FJ417789;PT;Praça de Teixeira, S/N3364-612 São João da Madeira;2011/07/20 18:34:01;cash;active
RodriCarvalho404;Rodrigo da Carvalho;rodricarvalho404@li3.pt;923764641;1971/04/05;M;EN681950;PT;;2014/05/07 22:28:11;cash;active
LaPires-Pires;Lara Pires-Pires;lapires-pires@li3.pt;(351) 914 365 168;09:54:47 AM/16/10/2002;F;KD668713;PT;Praça dos Jacarandás, 1862740-003 Pombal;2019/03/12 06:50:34;cash;active
GuilherLopes1043;Guilherme Lopes;guilherlopes1043@li3.pt;925 388 375;1965/03/02;M;TO915946;PT;Avenida dos Fenícios, 557383-833 Cantanhede;2010/11/28 09:32:59;;ACTIVE
FJesus1978;Filipe Jesus;fjesus1;926329303;1974/09/08;M;PQ257430;PT;R. do Evaristo, 994560-552 Pinhel;2015/06/09 12:45:27;credit_card;inactive
CamilLima;Camila Lima;camillima@li3.pt;(351) 966 577 206;1983/06/05;F;PP534179;PT;Avenida Nogueira, S/N5016-706 São Mamede de Infesta;2019|11|21 10:32:19;cash;active
FilipCosta305;Filipa do Costa;filipcosta305@li3.pt;+351922636003;1968/11/25;F;RG252811;PT;;2011/10/23 23:13:57;credit_card;active
KeCoelho1954;Kevin de Coelho;kecoelho1954@li3.pt;(351) 960 573 207;1995/06/03;M;CE078890;Y;Alameda Ivan Costa, 196578-153 Fundão;2017/02/12 04:16:04;cash;active
AfoMiranda1683;Afonso Miranda;afomiranda1683@li3.pt;+351282069192;1973/02/26;;HC461499;PT;Travessa de Simões, S/N8349-771 Peso da Régua;2011/11/26 17:34:03;debit_card;active
EPacheco1384;Emília Pacheco;epacheco1384@li3.pt;(351) 223 220 149;1992/03/08;F;BH028796;FLD;Av de Correia, S/N5225-560 Vizela;2011/10/29 09:07:26;credit_card;active
;Simão Ferreira;siferreira1566@li3.pt;918646062;1992/11/13;M;AI067336;PT;Av Ramos, 51310-453 Mêda;2011/11/20 17:31:11;cash;active
IsabeRibeiro1626;Isabela Ribeiro;isaberibeiro1626@li3.pt;(351) 939 277 448;1997/09/09;F;GZ285691;PT;Av do Alto de São João, 44391-960 Anadia;2014/01/30 21:20:36;;active
LFonseca616;;lfonseca616@li3.pt;(351) 209 741 662;1994/03/05;M;RO553730;PT;Praça Freitas, 654242-617 Rebordosa;2020/04/09 16:10:39;cash;inactive
NúGaspar;;núgaspar@li3.pt;(351) 926345854;1985/03/23;F;ZO671560;PT;Alameda da Praia da Galé, 279041-250 Oliveira de Azeméis;2015/03/22 01:43:01;cash;active
;Tomás Barbosa;tbarbosa1454@li3.pt;(351) 924940229;1969/08/23;M;YI151106;PT;Avenida de Alves, S/N7035-464 Setúbal;2018/08/17 00:43:42;debit_card;active
EduaReis1626;Eduardo Reis;eduareis1626@li3.pt;(351) 969 530 645;1969/06/05;M;TE503583;PT;Rua do Carvalhão, 905872-388 Lagoa;2014/07/04~13:25:29;debit_card;active
Luísa-VicAmorim;;luísa-vicamorim@li3.pt;(351) 910907670;1958/10/04;F;ZP151669;PT;Praça Costa, 5312557-576 Sines;2016/07/04 16:38:28;cash;active
IsMoura-Matias1940;Ismael Moura-Matias;ismoura-matias1940@li3.pt;(351) 938117749;1957/02/27;M;AU426099;PT;R. de Moura, S/N8409-497 Vale de Cambra;2012/10/31 07:32:15;;active
JoMota-Castro717;Joel Mota-Castro;jomota-castro717@li3.pt;242820110;1976/01/09;M;TI228487;PT;Alameda das Comunidades Portuguesas, 983426-931 Santarém;2012/01/17 16:38:19;;active
MiVieira-Oliveira;Micael Vieira-Oliveira;mivieira-oliveira@li3.pt;(351) 914 565 173;1994/04/29;;VV714567;PT;Praça Pacheco, 40348-403 Caniço;2010/08/16 10:31:09;cash;active
CésNeves1652;César Neves;césneves1652@li3@pt;(351) 911 748 115;2002/06/27;M;NK103791;PT;Praça Igor Oliveira, 17373-632 Lamego;2017/11/24 13:45:03;debit_card;active
RuJesus243;Rui do Jesus;rujesus243@li3.pt;+351218246869;1977/09/16;M;CJ752150;PT;Largo de Araújo, 867853-002 Leiria;2013/12/22 01:16:28;credit_card;CJ752150
RúSantos-Rocha48;Rúben Santos-Rocha;rúsanto;927647751;1991/04/29;M;RM426908;PT;Travessa do Campo Alegre, S/N3230-648 Câmara de Lobos;2014/02/27 16:40:07;credit_card;active
CaBorges749;Carlos Borges;caborges749@li3.pt;(351) 298882012;1986/03/23;M;UJ799087;ERP;Av Branco, S/N8490-113 Loures;2020/10/05 01:20:42;credit_card;active
;Renata Campos;recampos1565@li3.pt;(351) 917410324;1987/04/02;F;KE870394;PT;Largo Emília Nogueira, 594072-430 Santiago do Cacém;2015/09/02 04:23:36;debit_card;active
BryaMendes627;Bryan Mendes;bryamendes627@li3.pt;964160002;1965/07/05;M;WY310729;PT;;2012/01/17 01:47:06;cash;active
DBarbosa603;Diego da Barbosa;dbarbosa603@li3.pt;295 074 604;1951/05/19;;WC238877;PT;Travessa das Pedras, S/N8403-218 Gandra;2017/11/03 09:36:28;debit_card;active
JorCarneiro453;Jorge da Carneiro;jorcarneiro453@li3.pt;216 304 546;2004/09/29;M;JB520787;PT;Travessa Duarte Tavares, 9276780-925 Aveiro;2015/03/01 05:54:37;credit_card;JB520787
BriaAlves848;Brian Alves;briaalves848@li3.pt;(351) 939262780;1955/10/10;M;DA598042;PT;Travessa Brito, 826011-908 Amadora;2019/03/26 11:45:22;credit_card;DA598042
JoaFonseca-Sá;;joafonseca-sá@li3.pt;+351927222562;1984/04/11;F;OP933972;PT;Alameda Hugo Macedo, 658715-569 Macedo de Cavaleiros;2018/12/29 09:16:30;credit_card;active
Sara-Carvalho;Sara-Matilde Carvalho;sara-carvalho@li3.pt;(351) 939436705;1980/11/16;F;XA810857;PT;Largo Santos, S/N2922-736 Mêda;2016/01/16 22:25:07;cash;XA810857
BernaFigueiredo;;bernafigueiredo@li3.pt;(351) 932635169;2003/11/19;M;YS989639;PT;Praça Jéssica Ribeiro, 39789-537 Serpa;2015/01/30 01:30:51;credit_card;active
PedDomingues639;Pedro Domingues;peddomingues639@li3@pt;(351) 967 540 921;1973/11/21;M;JB455555;PT;Travessa Henriques, 622427-031 Sabugal;2017/01/23 18:52:08;cash;active
AnitaJesus371;Anita-Juliana Jesus;anitajesus371@li3.pt;918 934 720;1962/04/26;;UP645129;PT;Largo da Associação Empresarial de Portugal, S/N3681-258 Anadia;2014/04/04 12:50:31;debit_card;active
SantiCardoso218;Santiago Cardoso;santicardoso218@li3.pt;(351) 921942920;1961|07|08;M;LG287578;PT;Alameda Anjos, S/N6222-314 Vila Franca de Xira;2010/02/07 19:25:33;debit_card;active
;Iara Rodrigues;iarodrigues1024@li3.pt;933963886;1965/09/28;F;ZT479693;PT;Alameda de S. Marçal, 276215-093 Santa Cruz;2011/12/06 20:52:41;cash;active
DiAzevedo1463;Diogo Azevedo;diazevedo1463@li3.pt;935 135 892;1977/08/29;M;;PT;R. Fernandes, 7287948-564 Ílhavo;2016/12/09 14:09:28;cash;active
RafaelaCarvalho;Rafaela-Matilde Carvalho;rafaela;(351) 208 469 507;1994/05/30;F;OC796124;PT;Alameda Lopes, 25134-613 Santa Comba Dão;2012/09/28 21:45:28;debit_card;active
DéCarvalho1721;Débora Carvalho;décarvalho1721@li3.pt;(351) 272295986;1979/08/20;F;OG567546;PT;R. de Eça de Queirós, S/N9072-107 Silves;03:46:15 AM/11/10/2007;credit_card;active
IsMaia1912;Isabela Maia;ismaia1912@li3.pt;(351) 962 777 006;1967/12/04;F;UT374333;PT;;2017/08/29 05:27:47;debit_card;active
YValente550;Yara Valente;yvalente550@li3.pt;(351) 232 228 794;1955/06/29;F;SW982456;PT;Praça de São Francisco, 3853229-700 Maia;2016/03/13 04:09:59;debit_card;SW982456
MAraújo1879;Mário de Araújo;maraújo1879@li3.pt;(351) 968 494 336;1995/01/13;M;QC576915;PT;Avenida Mota, 349291-243 Rio Tinto;2014/10/19 11:24:26;;active
RuMatos975;Rui Matos;rumatos975@li3.pt;(351) 937 483 904;2000/06/29;M;YH823774;PT;Avenida de Mendes, 13227-932 Estarreja;2011/11/07 13:01:12;cash;YH823774
EduFaria1261;Eduarda Faria;edufaria1261@li3.pt;(351) 931 997 997;1981/05/09;F;;PT;Alameda de Costa Cabral, 7686314-936 Guarda;2013/06/22 16:52:11;credit_card;active
;Catarina do Monteiro;catarinmonteiro@li3.pt;922471100;1992/09/26;F;UP881232;PT;Praça de Moura, S/N8815-650 Santa Cruz;2020/10/02 06:15:28;debit_card;active
AdriMota887;Adriana Mota;adrimota887@li3.pt;(351) 964 813 343;1977/03/09;F;RQ149548;PT;Rua de Vieira, S/N0825-992 Alcácer do Sal;06:34:23 PM/10/12/2020;debit_card;active
IarMendes1716;Iara Mendes;iarmendes1716atli3.pt;(351) 298 671 754;1976/01/04;F;NR479100;PT;Avenida Guerreiro, 595421-634 Miranda do Douro;2020/08/12 22:34:35;credit_card;inactive
MCoelho656;Madalena Coelho;mcoelho656@li3.pt;931532928;2002/03/03;F;SJ175767;PT;Praça Dinis Melo, S/N8136-207 Aveiro;2017/05/25 19:01:23;;active
FrancisTorres1238;Francisca Torres;francistorres1238@li3.pt;(351) 911852976;1980/12/15;F;GQ397571;PT;;2019/12/23 05:44:55;cash;Active
KéviSantos533;Kévim Santos;kévisantos533@li3.pt;+351211328497;1970/12/25;;IM848466;PT;Avenida Joel Gaspar, 378095-409 Amora;2013/03/22 14:37:28;credit_card;active
MartiFigueiredo605;Martim Figueiredo;martifigueiredo605@li3.pt;(351) 914740072;1951/11/01;;YE981360;PT;Largo de Antero de Quental, 589834-676 Rio Tinto;2013/05/02 20:14:45;cash;active
JoanRocha1931;Joana Rocha;joanrocha1931.li3.pt;(351) 964 558 966;1989/05/08;F;JP829279;PT;Largo Faria, 97249-692 Almeirim;2011/01/14 05:54:19;credit_card;active
NNeto1125;Nuno Neto;nneto1125@li3.pt;+351220584174;1982/10/07;M;LD221056;PT;Avenida de Silva, S/N2763-863 Vale de Cambra;2013/08/16 05:51:08;cash;
DiAntunes146;Diana Antunes;diantunes146@li3.pt;(351) 962 648 949;2003/11/03;;GQ279867;PT;Praça Melo, 322722-831 Gondomar;2014/07/17 21:28:37;debit_card;active
FranEsteves851;Francisca Esteves;franesteves851@li3@pt;(351) 961 700 002;1994/07/05;F;XR406053;PT;Praça de Miranda, 5102377-827 Beja;2019/05/17 12:42:48;debit_card;active
MaReis477;Mateus Reis;mareis477@li3.pt;966246585;1995/05/02;;ZM622870;PT;Av de Gomes, 317712-292 Vila Nova de Gaia;2014/12/06 12:54:32;cash;active
SaVicente1699;Samuel Vicente;savicente1699@li3.pt;(351) 934655199;1978/12/12;M;XR697640;PT;;2015/09/01 05:04:30;debit_card;active
ECardoso-Rodrigues1817;Enzo Cardoso-Rodrigues;ecardoso-rodrigues1817@li3.pt;217 070 363;1966/02/23;;UC533485;PT;Alameda de Rodrigues, 363605-111 Seixal;2013/10/18 00:53:19;debit_card;active
PetJesus1183;Petra Jesus;petjesus1183@li3.pt;(351) 924831324;1981/05/22;F;XN407825;PT;Avenida da Cova da Moura, 6351216-853 Trofa;2015/07/28 18:21:56;;active
NCampos1665;Nicole do Campos;ncampos1665@li3.pt;969 347 734;1968/05/08;F;BR643973;PT;Alameda Leonor Baptista, 785628-746 Angra do Heroísmo;2011/12/20 20:33:43;;inactive
;Yara-Luna Nogueira;yarnogueira1193@li3.pt;(351) 273537225;1984/11/17;F;IN504298;PT;Avenida Marques, 681373-972 Paredes;2016/10/08 21:36:08;cash;active
InêSoares1097;Inês Soares;inêsoares1097@li3.pt;233490765;1982/04/13;F;WD987897;PT;Largo das Galeotas ao Parque das Nações, S/N1780-808 Albufeira;;debit_card;active
DavMatias1284;David Matias;davmatias1284@li3.pt;(351) 242 336 440;1979/10/06;M;IA910170;PT;Praça Neto, 8338751-166 Quarteira;2020/10/19 09:11:54;debit_card;IA910170
FSimões1563;Filipa-Luna Simões;fsimões1563@li3.pt;(351) 968325409;1970/10/30;;LY835171;PT;Travessa de Barbosa, 65332-131 Alverca do Ribatejo;2013/11/15 21:23:18;debit_card;active
ÂngeVieira1670;Ângelo Vieira;ângevieira1670@li3.pt;(351) 923 137 696;1968/03/25;M;BG625932;PT;;2014/03/30 10:04:24;credit_card;active
LúcBrito145;Lúcia Brito;lúcbrito145@li3.pt;(351) 208493306;1986/08/21;F;GR709287;PT;Alameda do Rou, 73426-518 Fundão;;debit_card;active
;Letícia Castro-Araújo;lcastro-araújo181@li3.pt;(351) 933 053 395;1960/11/18;F;ST401245;PT;Travessa de Aquilino Ribeiro, 867222-636 Fátima;2014/01/12 13:10:02;credit_card;active
MaBorges1360;Mateus de Borges;maborges1360@li3.pt;(351) 934 775 718;1953/10/11;M;MN380005;L;R. de Ribeiro, 89480-461 Peso da Régua;2010/01/10 09:33:02;cash;active
VascCampos589;Vasco Campos;vasccampos589@li3.pt;295190718;1950/08/15;M;KS239999;X;Avenida de Batista, 90723-389 Odivelas;2014/10/25 05:02:06;cash;active
DRodrigues78;Diego Rodrigues;drodrigues78@li3.pt;(351) 915048203;1983/10/25;M;;PT;Av Pacheco, 3062134-139 Praia da Vitória;2018/04/03 21:42:57;cash;active
PatríciVicente1636;Patrícia Vicente;patrícivicente1636@li3.pt;915 909 184;1981/01/04;F;CP576704;PT;Avenida Guilherme Ramos, 731904-781 Loulé;2018/04/21~13:48:55;debit_card;active
WFreitas1618;Wilson Freitas;wfreita;+351910871414;2004/08/08;M;MI540325;PT;Travessa Gabriela Matos, 980433-132 Porto;2019/10/16 00:23:58;debit_card;active
SaBarros937;Sara Barros;sabarros937@li3.pt;(351) 924 490 670;1999/11/26;F;NH421679;PT;Av Jesus, 8756078-273 Marco de Canaveses;09:47:35 AM/25/09/2022;debit_card;active
EduGuerreiro900;Eduarda Guerreiro;eduguerreiro900.li3.pt;294719376;1966/03/13;F;FS326110;PT;Avenida Amaral, 176619-670 Câmara de Lobos;2019/02/22 16:40:44;credit_card;active
NicoMoreira789;;nicomoreira789@li3.pt;962956495;1965/10/13;F;AO936081;PT;Praça Vera Barbosa, 6934453-277 Alverca do Ribatejo;2012/12/20 18:02:18;cash;active
MaMachado753;Marta Machado;mamachado753atli3.pt;(351) 256 262 194;1950/07/01;F;EQ486256;PT;Alameda Tavares, S/N6612-244 Marinha Grande;2011/07/10 18:01:54;cash;active
BeatriPaiva-Nogueira;Beatriz Paiva-Nogueira;beatripaiva-nogueira@li3.pt;219 206 934;1964/11/21;F;UC860594;CAP;Av Antunes, 331409-886 Leiria;2013/08/14 00:50:48;credit_card;active
JoPinho813;João Pinho;jopinho813@li3.pt;253 422 428;1984/09/28;M;PJ510442;KWG;Praça de Paiva, 718742-154 Barreiro;2017/10/19 03:43:08;credit_card;active
JBarros1322;Jaime Barros;jbarros1322@li3.pt;914 909 357;1972/08/01;M;YT051951;PT;Praça dos Navegadores, S/N5557-426 Angra do Heroísmo;2014/05/25 00:41:21;;active
AnCruz607;Ana Cruz;ancruz607@li3.pt;242 868 876;1986/08/06;F;DF442115;PT;Alameda dos Bacalhoeiros, 578619-284 Rebordosa;2018/05/23 05:54:57;;active
MáNascimento1630;Márcio do Nascimento;mánascimento1630@li3.pt;204 250 211;1997/02/22;M;YP720739;PT;;2014/12/14 13:39:01;cash;active
ConstAlmeida177;Constança Almeida;constalmeida177@li3.pt;930 257 061;1979/12/15;F;AN911078;VPO;Largo Caetana Freitas, 51163-934 Viana do Castelo;2020/04/11 23:51:45;debit_card;active
LisaCruz;Lisandro Cruz;lisacruz@li3.pt;(351) 921 487 075;1957/08/04;;FM490749;PT;Travessa Ema Pinheiro, 49135-141 Aveiro;2015/08/07 17:49:01;cash;active
GuNeto1851;Gustavo Neto;guneto1851@li3.pt;+351918279066;1988/06/06;M;RY250759;PT;;2014/01/20 17:24:32;credit_card;active
LeanCarneiro;Leandro Carneiro;leancarneiro.li3.pt;928 666 273;1952/07/30;M;TT999891;PT;Av de Sá, 80064-112 Ovar;2012/10/22 15:40:57;credit_card;Active
FiMiranda1534;Filipe Miranda;fimiranda1534@li3.pt;(351) 932 677 706;1979/01/16;M;QT509137;PT;Avenida dos Pardais, 363012-107 Angra do Heroísmo;2016/09/02 18:42:06;;active
RitaAssunção;Rita-Luna Assunção;ritaassunção.li3.pt;961 126 495;1988/10/04;F;JC301697;PT;Av Matias Oliveira, 192382-786 Valbom;2011/08/23 12:48:23;cash;active
ArtuReis407;Artur Reis;artureis407@li3.pt;232 234 144;1951/01/03;;IP134479;PT;Av da França, S/N5089-018 Amarante;2013/04/09 09:17:58;credit_card;active
;Sara Amaral;samaral1615@li3.pt;(351) 961318160;1991/08/04;F;LQ232654;PT;Avenida do José da Mestra, S/N6543-912 Montemor-o-Novo;2012/03/27 21:47:05;cash;active
BruBrito1170;Bruno Brito;brubrito1170@li3.pt;(351) 205468045;1982/12/13;M;DH306296;PT;Travessa de Marques, 506248-994 Lamego;2015/10/02 09:32:50;;active
YSoares-Morais;Yara Soares-Morais;ysoares-morais@li3.pt;;1967/04/07;F;GZ502267;PT;Avenida Wilson Abreu, 212073-595 Viseu;2018/08/01 21:45:55;credit_card;active
VaPacheco1928;Valentim Pacheco;vapacheco1928@li3.pt;;2004/03/28;M;VT560885;PT;Largo Mafalda Monteiro, 954257-289 Faro;2020/03/25 12:26:06;cash;active
LúcMelo-Morais;Lúcia Melo-Morais;lúcmelo-morais@li3.pt;(351) 934900484;1983/08/04;F;UV575851;PT;Praça de Vieira, 221812-572 Peniche;2020/12/23 04:29:44;;active
CarGaspar1534;Carlos Gaspar;cargaspar1534@li3.pt;+351911179246;2001/03/01;;BK690711;PT;R. de Rocha, 16419-713 Marco de Canaveses;2019/12/10 12:04:11;credit_card;active
JoMartins805;João Martins;jomartins805@li3.pt;;1970/01/18;M;KL478833;PT;Alameda dos Combatentes da Grande Guerra, 350408-788 Costa da Caparica;2016/07/10 12:47:33;credit_card;active
LuSá351;Lucas Sá;lusá351;(351) 938245964;1958/01/26;M;WX825475;PT;Travessa Anita Correia, 8580760-399 Marinha Grande;2013/01/02 13:56:37;credit_card;ACTIVE
HenMarques1369;;henmarques1369@li3.pt;(351) 937 285 456;1991/02/05;M;VB080109;PT;R. Bárbara Barros, 6075812-149 Torres Vedras;2012/09/22 18:13:24;cash;active
FSá362;Fabiana Sá;fsá362@li3.pt;+351911136178;1989/08/16;F;ME415327;PT;Avenida de Pinto, 897371-891 Porto Santo;2018/08/24 06:03:59;cash;ME415327
CBarros1004;Catarina Barros;cbarros1004@li3@pt;960 855 516;1962/04/22;F;PP112813;PT;Av de Lourenço, S/N8989-004 Macedo de Cavaleiros;2012/01/11 08:35:45;cash;active
MaTavares924;Martim Tavares;matavar;(351) 210571951;1998/04/23;M;NK389233;PT;R. Bryan Sá, 9695160-947 Figueira da Foz;2019/01/22 14:47:36;credit_card;active
CarloSilva1480;Carlota Silva;carlosilva1480@li3.pt;(351) 938 272 789;1985/10/24;;AU815324;PT;Avenida de Esteves, 525974-441 Amora;2018/03/16 06:21:10;cash;active
DaMota867;Daniela Mota;damota867@li3.pt;+351912685232;1976/02/06;F;CT725573;PT;Avenida do Dr. Fernando de Azeredo Antas, 22549-091 Almeirim;2013/03/27 19:22:45;credit_card;CT725573
BrunSantos-Antunes1290;Bruna Santos-Antunes;brunsantos-antunes1290@li3.pt;928 142 357;1988/02/20;F;FF647148;PT;Largo Nunes, 71472-486 Elvas;2011/08/01 22:52:29;;active
TNeto508;;tneto508@li3.pt;936834987;1984/09/20;F;UT731193;PT;R. do Bessa, 465800-143 Leiria;2019/10/04 01:12:04;credit_card;active
;Xavier Teixeira;xteixeira1360@li3.pt;(351) 928 904 815;1962/02/18;M;KF708884;PT;R. de Sá, 154785-295 Vila Nova de Famalicão;2014/10/22 00:54:38;cash;ACTIVE
EmíMachado1775;;emímachado1775@li3.pt;205 305 030;1952/04/08;F;NT626443;PT;Praça Baptista, 439254-511 Amora;2012/06/04 20:10:16;credit_card;Active
;Nair Leal;naleal705@li3.pt;(351) 918 525 425;1989/09/24;F;XI683608;PT;R. de Irene de Castro, 62786-893 Chaves;2012/06/13 12:25:35;cash;active
JoMaia1052;Joaquim Maia;jomaia1052@li3.pt;939139960;2005/05/22;M;KK514406;PT;;2010/01/20 02:15:37;credit_card;ACTIVE
BeBatista647;Benjamim Batista;bebatista647@li3.pt;+351924749241;1972/06/02;M;;PT;Alameda Mateus Lourenço, 792293-296 São Mamede de Infesta;2013/06/03 00:56:32;cash;active
SamuPinheiro1432;Samuel Pinheiro;samupinheiro1432@li3.pt;(351) 935 877 079;2004/09/25;;BB800227;PT;Travessa Cunha, 991852-429 Mirandela;2018/06/22 00:59:41;debit_card;active
